# Lon        | Lat          | Moho Depth   | X   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.520844e+02  +6.341880e+01  +3.414135e+01  0151     AK-CAST-  +1.546352e-02  +1.162596e+00  +3.265115e+00  +2.100000e+00
-1.520228e+02  +6.129130e+01  +3.507594e+01  0036     AV-SPCG-  +2.350319e-01  +2.194570e+00  +3.452344e+00  +2.100000e+00
-1.519822e+02  +6.518000e+01  +3.075727e+01  0078     TA-I21K-  +1.038009e+00  +2.879511e+00  +3.925284e+00  +2.100000e+00
-1.518132e+02  +6.813430e+01  +4.599237e+01  0045     TA-E22K-  +2.551627e-02  -1.265497e+00  +5.080633e+00  +1.100000e+00
-1.516515e+02  +5.965720e+01  +2.374416e+01  0076      AK-HOM-  +1.217359e+01  +1.571985e+01  +3.893054e+00  +1.000000e-01
-1.515317e+02  +6.198000e+01  +3.215537e+01  0075      AK-SKN-  +5.462862e-01  +4.463356e+00  +3.694046e+00  +2.100000e+00
-1.515073e+02  +6.692140e+01  +3.866412e+01  0036     TA-G22K-  +2.846774e-03  -1.361767e-02  +3.643869e+00  +2.100000e+00
-1.513773e+02  +6.589370e+01  +3.469466e+01  0050     TA-H22K-  +1.684089e-03  -2.692348e-01  +3.222513e+00  +2.100000e+00
-1.509873e+02  +6.409970e+01  +3.005257e+01  0421     AK-BPAW-  +1.290495e-01  +3.108158e+00  +3.489980e+00  +2.100000e+00
-1.509233e+02  +6.355270e+01  +3.157126e+01  0333      AK-KTH-  +2.522805e+00  +4.067601e+00  +3.196676e+00  +1.100000e+00
-1.509063e+02  +5.975110e+01  +5.330023e+01  0176     AK-BRLK-  +1.067982e+01  -1.670458e+01  +3.933617e+00  +1.000000e-01
-1.508543e+02  +6.346211e+01  +3.495911e+01  0060    XE-WON-01  +3.510773e-02  +8.226686e-01  +3.216103e+00  +2.100000e+00
-1.508039e+02  +6.252771e+01  +3.203855e+01  0049    XE-PVW-01  +3.211235e+00  +5.147442e+00  +3.370108e+00  +1.100000e+00
-1.507467e+02  +6.146360e+01  +3.040304e+01  0143      AK-SSN-  +2.400060e+00  +8.839450e+00  +3.872106e+00  +1.000000e-01
-1.507442e+02  +6.503040e+01  +3.332360e+01  0192      AK-MLY-  +6.944377e-03  -1.229047e+00  +3.453683e+00  +2.100000e+00
-1.507414e+02  +5.974170e+01  +3.437500e+01  0030     AK-BRSE-  +2.265319e+00  +6.615379e+00  +4.814005e+00  +1.000000e-01
-1.506807e+02  +6.896560e+01  +4.935115e+01  0032     TA-D23K-  +1.862895e+00  -7.139969e+00  +5.035520e+00  +1.100000e+00
-1.506710e+02  +6.671920e+01  +3.484229e+01  0109    XR-GBN-01  +1.426898e-01  +2.350715e+00  +3.349281e+00  +2.100000e+00
-1.504617e+02  +6.048320e+01  +5.633762e+01  0031     YV-LSKI-  +1.663275e+00  -1.403806e+01  +5.772279e+00  +1.100000e+00
-1.502893e+02  +6.345020e+01  +4.033294e+01  0268      AK-TRF-  +1.356543e+00  -4.337472e+00  +3.231896e+00  +2.100000e+00
-1.502635e+02  +6.620660e+01  +3.472547e+01  0072    XR-CBM-01  +1.191706e-02  -5.651654e-02  +3.219229e+00  +2.100000e+00
-1.502625e+02  +6.240580e+01  +3.519276e+01  0028      AK-CUT-  +2.273571e-02  +1.802454e+00  +3.438582e+00  +2.100000e+00
-1.502318e+02  +6.268925e+01  +4.196846e+01  0129    XE-BYR-01  +3.428425e+00  -5.157728e+00  +3.306506e+00  +1.100000e+00
-1.502231e+02  +6.051170e+01  +5.201519e+01  0106      AK-SLK-  +7.621743e-01  -9.103229e+00  +6.003284e+00  +1.100000e+00
-1.502039e+02  +6.256044e+01  +3.530958e+01  0021   XE-WOLF-01  +4.652496e-01  +1.898034e+00  +3.360120e+00  +2.100000e+00
-1.502038e+02  +6.722690e+01  +3.659463e+01  0461     AK-COLD-  +9.964172e-02  +2.477332e+00  +3.565637e+00  +2.100000e+00
-1.501999e+02  +6.346859e+01  +3.484229e+01  0024    XE-SBL-01  +5.622183e-01  +1.816105e+00  +3.371120e+00  +2.100000e+00
-1.501900e+02  +6.046010e+01  +4.862734e+01  0043     YV-USKI-  +1.225457e-01  -5.515224e+00  +6.103989e+00  +1.100000e+00
-1.501100e+02  +6.738120e+01  +3.998248e+01  0102    XR-WSM-01  +1.252000e-03  -4.619092e-01  +3.666213e+00  +2.100000e+00
-1.500609e+02  +6.214996e+01  +3.145444e+01  0121   XE-TLKY-01  +3.673645e+00  +6.639347e+00  +3.556719e+00  +1.100000e+00
-1.500316e+02  +6.048810e+01  +4.745911e+01  0079     YV-RUSS-  +1.934054e-03  -4.304642e+00  +6.029944e+00  +1.100000e+00
-1.500294e+02  +6.169540e+01  +2.724883e+01  0079     YV-NANC-  +9.415118e+00  +1.334421e+01  +4.011564e+00  +1.000000e-01
-1.500239e+02  +6.671080e+01  +3.515267e+01  0049     TA-G23K-  +9.211791e-03  +1.375963e+00  +3.317625e+00  +2.100000e+00
-1.499307e+02  +6.476530e+01  +2.865070e+01  0030     XV-F8KN-  +1.115443e+00  +3.366621e+00  +3.938592e+00  +2.100000e+00
-1.498648e+02  +6.286026e+01  +3.904790e+01  0052    XE-MHR-01  +7.843840e-03  -1.371303e+00  +3.413343e+00  +2.100000e+00
-1.498256e+02  +6.485370e+01  +3.227220e+01  0018     XV-F7TV-  +3.097187e-02  -5.608106e-01  +3.444250e+00  +2.100000e+00
-1.498236e+02  +6.785160e+01  +4.220210e+01  0066    XR-BMQ-01  +5.022955e-03  -4.221863e-01  +4.170198e+00  +1.100000e+00
-1.498174e+02  +6.159190e+01  +5.575350e+01  0017     YV-BIGB-  +1.323838e+01  -1.675283e+01  +4.586597e+00  +1.000000e-01
