gid,latitude,longitude,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,heat_flow,heat_flow_sym,heat_flow_std_err,cheat_flow,cheat_flow_sym,cheat_flow_std_err,quality_code
NV-05006,40.3676,-114.626,,,,,,,,,,
NV-05010,38.5869,-116.0784,,,,,,,,,,
NV-05012,40.5933,-118.289,,,,,,,,,,
NV-05013,39.9439,-117.9333,,,,,,,,,,
NV-05017,39.9498,-117.9016,,,,,,,,,,
NV-05025,39.9811,-117.8528,,,,,,,,,,
NV-05028,40.5143,-118.2508,,,,,,,,,,
NV-05030,40.5086,-118.2321,,,,,,,,,,
NV-05033,40.4949,-118.2285,,,,,,,,,,
NV-06423,37.8569374,-117.9239317,,,,,,,,,,X
NV-06001,40.5766045,-116.650032,,,,,,,,,,D
NV-06001,40.5766045,-116.650032,,,,134.3,,,,,,C
NV-06002,40.5757053,-116.5579293,,,,164.4,,,,,,X
NV-06008,41.8116954,-115.98063,,,,101.3,,,,,,D
NV-06009,41.8116954,-115.98063,,,,8.9,,,,,,D
NV-06010,40.9476982,-116.852543,,,,114.8,,,,,,D
NV-06014,40.8743041,-116.2282239,,,,123.9,,,,,,D
NV-06017,40.5903151,-115.2909929,,,,630,,,,,,G
NV-06025,40.8368087,-115.7156085,,,,61.2,,,,,,C
NV-06035,39.8847031,-118.0032608,,,,,,,,,,G
NV-06035,39.8847031,-118.0032608,,,,28.9,,,,,,G
NV-06036,39.9505028,-117.9193593,,,,114.8,,,,,,G
NV-06041,40.5874962,-117.6552609,,,,78.5,,,,,,C
NV-06042,40.5560963,-117.6890614,,,,192.9,,,,,,D
NV-06044,40.5801962,-117.6581609,,,,86.1,,,,,,D
NV-06045,40.5520964,-117.6817611,,,,205,,,,,,D
NV-06055,39.3638993,-119.4000922,,,,,,,,,,
NV-06055,39.3638993,-119.4000922,,,,,,,,,,C
NV-06055,39.3638993,-119.4000922,,,,25.5,,,,,,C
NV-06058,39.813908,-117.5258464,,,,429.3,,,,,,G
NV-06059,39.8682075,-117.4947462,,,,643.2,,,,,,G
NV-06060,39.8624076,-117.4945462,,,,405.5,,,,,,G
NV-06061,39.8656076,-117.4928462,,,,346.5,,,,,,G
NV-06063,39.7889098,-117.3538412,,,,75.3,,,,,,C
NV-06064,38.8988104,-118.9822743,,,,23.8,,,,,,A
NV-06071,39.5614068,-118.1385601,,,,,,,,,,G
NV-06071,39.5614068,-118.1385601,,,,874.5,,,,,,X
NV-06073,39.5673008,-118.8484799,,,,,,,,,,G
NV-06073,39.5673008,-118.8484799,,,,1922,,,,,,G
NV-06074,39.5721008,-118.8441798,,,,1495.4,,,,,,G
NV-06076,39.6072004,-118.8190796,,,,197.6,,,,,,G
