# Lon        | Lat          | Moho Depth   | Count   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.534196e+02  +7.034000e+01  +2.767176e+01  0001     TA-B22K-  +1.004833e-01  +1.254236e+01  +2.695549e+00  +1.100000e+00
-1.533573e+02  +5.933702e+01  +2.316005e+01  0013     AV-AU22-  +3.464395e+00  +9.746685e+00  +4.192201e+00  +1.000000e-01
-1.532875e+02  +5.722250e+01  +3.542640e+01  0204     AT-OHAK-  +5.244954e-02  +2.470038e+00  +1.429136e+00  +2.100000e+00
-1.532319e+02  +5.965240e+01  +2.812977e+01  0012     TA-P19K-  +1.342404e-01  +5.051990e+00  +4.103261e+00  +1.100000e+00
-1.531318e+02  +6.188230e+01  +3.896947e+01  0047     TA-M20K-  +3.380408e-01  -3.309271e+00  +3.668147e+00  +1.100000e+00
-1.529293e+02  +6.056210e+01  +4.196846e+01  0010    AV-NCT-00  +1.692102e+00  -4.249037e+00  +9.338824e-01  +2.100000e+00
-1.528425e+02  +6.048750e+01  +4.185164e+01  0010     AV-RDWB-  +1.701021e+00  -4.058670e+00  +9.404958e-01  +2.100000e+00
-1.528058e+02  +6.059050e+01  +4.115070e+01  0068     AV-RDJH-  +8.552166e-02  -3.207715e+00  +1.004779e+00  +2.100000e+00
-1.528050e+02  +6.565710e+01  +3.393130e+01  0052     TA-H21K-  +7.261038e-03  +1.249354e+00  +1.350875e+00  +2.100000e+00
-1.527742e+02  +6.041960e+01  +3.893107e+01  0023    AV-RED-00  +1.947686e-03  -9.587171e-01  +1.013506e+00  +2.100000e+00
-1.527430e+02  +6.045360e+01  +4.009930e+01  0010     AV-RDSO-  +2.788467e-01  -2.094375e+00  +1.016192e+00  +2.100000e+00
-1.526883e+02  +6.059120e+01  +3.507594e+01  0021     AV-RDDF-  +1.507867e+00  +3.554513e+00  +1.399119e+00  +2.100000e+00
-1.526821e+02  +6.887990e+01  +5.118321e+01  0028     TA-D22K-  +5.687040e-01  -6.500963e+00  +4.616064e+00  +1.100000e+00
-1.526240e+02  +6.008150e+01  +3.636098e+01  0020     TA-O20K-  +4.662003e-03  +1.678843e-01  +1.137738e+00  +2.100000e+00
-1.525835e+02  +5.778280e+01  +4.009930e+01  0418   II-KDAK-10  +2.618270e-02  +1.625618e-01  +3.707995e+00  +1.100000e+00
-1.523942e+02  +5.860970e+01  +5.545802e+01  0026     TA-Q20K-  +1.446738e+01  -2.153379e+01  +2.190914e+00  +1.000000e-01
-1.523722e+02  +6.125910e+01  +2.444509e+01  0078     AV-SPBG-  +1.108104e+01  +1.400654e+01  +1.227062e+00  +1.000000e-01
-1.523172e+02  +6.388220e+01  +2.970210e+01  0147     AK-CHUM-  +2.345579e+00  +4.776908e+00  +3.407718e+00  +1.000000e-01
-1.522091e+02  +6.120030e+01  +3.974883e+01  0048     AV-SPCR-  +1.152363e+00  -3.001487e+00  +1.029380e+00  +2.100000e+00
-1.522089e+02  +6.120010e+01  +4.339695e+01  0039     TA-N20K-  +4.991611e+00  -7.098399e+00  +1.287986e+00  +1.100000e+00
-1.521894e+02  +6.289620e+01  +4.500584e+01  0250     AK-PPLA-  +2.873429e+00  -9.904873e+00  +1.283741e+00  +1.100000e+00
-1.521790e+02  +6.750760e+01  +4.996183e+01  0035     TA-F22K-  +3.806648e+00  -8.022787e+00  +4.244015e+00  +1.000000e-01
-1.520844e+02  +6.341880e+01  +3.414135e+01  0151     AK-CAST-  +1.329939e-02  +1.250115e+00  +1.111740e+00  +2.100000e+00
-1.520228e+02  +6.129130e+01  +3.507594e+01  0036     AV-SPCG-  +2.187085e-01  +2.381128e+00  +1.229207e+00  +2.100000e+00
-1.519822e+02  +6.518000e+01  +3.075727e+01  0078     TA-I21K-  +1.731670e+00  +3.269065e+00  +3.470239e+00  +1.100000e+00
-1.518132e+02  +6.813430e+01  +4.599237e+01  0045     TA-E22K-  +1.751887e-03  -3.607877e-01  +2.992555e+00  +2.100000e+00
-1.516515e+02  +5.965720e+01  +2.374416e+01  0076      AK-HOM-  +8.531844e+00  +1.640629e+01  +2.455659e+00  +1.000000e-01
